product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
9155638952151,Golden Bow Whisper Stud Earrings,golden-bow-whisper-stud-earrings,Salty,Earrings,"earring for women's, Minimal, Valentines Day",48195358621911,Default Title,ES14647-G,399.00,799.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14647-G_Main.png?v=1768823800, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14647-G_Main2_7ndubj.jpg?v=1768823800, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14647-G_Model.jpg?v=1768823800, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14647-G_White.png?v=1768823800",daily,summers,"Gold, White",Adults (18-45),Generic brand story.
9153008074967,Emerald Glow Halo Drops,emerald-glow-halo-drops-1,Salty,Earrings,"earring for women's, geometrical, Minimal, Rectanlge, s Day, Sparkel",48185678594263,Default Title,ES14615-G-GR,399.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14615-G-GR_Main.jpg?v=1768635340, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14615-G-GR.png?v=1768635340, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14615-G-GR_Model2.jpg?v=1768202483, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14615-G-GR_Model.jpg?v=1768202483",daily,summers,Tan,Adults (18-45),Generic brand story.
9159136182487,Flutter Bee Drop Earrings,flutter-bee-drop-earrings,Salty,Earrings,"earring for women's, Insects, Minimal, s Day",48207238070487,Default Title,ES14623-G,399.00,799.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14623-G_Main_20_281_29.jpg?v=1768824109, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14623-G_Main_20_282_29.jpg?v=1768824115, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14623-G_Main_20_283_29.jpg?v=1769758531, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/ES14623-G_Main_20_284_29.jpg?v=1768824117",daily,summers,Multicolor,Adults (18-45),Generic brand story.
9159139721431,Lil Love Bear Charm,lil-love-bear-charm,Salty,Keychains,,48207256551639,Default Title,C-BG-0099-S-PK,499.00,999.00,True,Default Title,,,https://cdn.shopify.com/s/files/1/0644/2457/5191/files/Image_20260109091507_2393_12_20_282_29.jpg?v=1768825124,daily,summers,Multicolor,Adults (18-45),Generic brand story.
9163923128535,Ivory Radiance Tennis Bracelet,ivory-radiance-tennis-bracelet,Salty,Bracelets,"Bracelet For Women Fashion, Diamond, Minimal, s Day, tennis, tennis bracelet",48220454650071,Default Title,BS14631-G-WH,499.00,999.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14631-G-WH_Main.jpg?v=1769871457, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14631-G-WH_White_20_282_29.jpg?v=1769871457, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14631-G-WH_White_20_281_29.jpg?v=1769871457, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14631-G-WH_White_20_283_29.jpg?v=1769871457",daily,summers,White,Adults (18-45),Generic brand story.
9170424725719,Luna Crest Solitaire Ring,luna-crest-solitaire-ring,Salty,Rings,"Diamond, Heart, Minimal, RIng for women, Solitaire, Valentines Day",48245597470935,Default Title,RS14627-S-WH,499.00,999.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14627-S-WH_Main1.jpg?v=1769699865, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14627-S-WH_Main2.jpg?v=1769699865, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14627-S-WH_Main3.jpg?v=1769699865, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14627-S-WH_Model.jpg?v=1769699865, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14627-S-WH_White.jpg?v=1769699865",daily,summers,White,Adults (18-45),Generic brand story.
9173333016791,Sweetheart Rosé Curve Ring,sweetheart-rose-curve-ring,Salty,Rings,"Minimal, Pink Diamond, RIng for women, Solitaire, Valentines Day",48257203568855,Default Title,RS14626-S-PK,399.00,799.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14626-S-PK_Main.jpg?v=1769871566, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14626-S-PK_Main2.png?v=1769871566, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14626-S-PK_Main3.png?v=1769871566, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14626-S-PK_Model.png?v=1769871566, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/RS14626-S-PK_White.png?v=1769871566",daily,summers,"Pink, White",Adults (18-45),Generic brand story.
9170387697879,Pink Heart Radiance Necklace,pink-heart-radiance-necklace,Salty,Necklaces,"Heart, Heart Necklace, Necklace for women, s Day",48245539930327,Default Title,NS14708-G-PK,499.00,999.00,True,Default Title,,,https://cdn.shopify.com/s/files/1/0644/2457/5191/files/Screenshot_202026-01-29_20at_205.38.05_E2_80_AFPM.png?v=1769697972,daily,summers,Pink,Adults (18-45),Generic brand story.
8651327176919,Heritage Hues Rakhi,heritage-hues-rakhi,Salty,Bracelets,"Affiliate, only-rakhi, rakhi, Square",45465217269975,Default Title,BS14212-G-MLT-SIMPLE,299.00,590.00,False,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14212-G-MLT_pkg_a2a55a55-4411-41b9-8353-cc01bedd4e1e.jpg?v=1764603383, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14212-G-MLT_1_6fcaee94-74d6-4623-a8df-2299ba154e71.jpg?v=1769960041, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14212-G-MLT_2_a99d0d43-ba14-4863-b3d8-17eee888be11.jpg?v=1764603383, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/BS14212-G-MLT_Dimension_e983aa72-2adc-4a31-9fc5-86794579af31.jpg?v=1764603383",daily,summers,Multicolor,Adults (18-45),Generic brand story.
8661391179991,Reveal Glide Giftbox,rakhi-reveal-glide-giftbox-for-sister,Salty,Gift Box,"gift box, Heart, rakhi, Rakhi Gift box, sis, Without Card",45496765972695,Default Title,SLIDERBOX-NEW,1599.00,2999.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0644/2457/5191/files/Salty-6381312_20_282_29.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/Salty-6381315_20_283_29.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/R-SLIDERBOX-SIS_20_287_29.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/R-SLIDERBOX-SIS_20_2812_29.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/R-SLIDERBOX-SIS_20_289_29.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/R-SLIDERBOX-SIS_20_2811_29.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/R-SLIDERBOX-SIS_Pack.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/Salty-3260480.jpg?v=1764600114, https://cdn.shopify.com/s/files/1/0644/2457/5191/files/Salty-3260436_copy.jpg?v=1764600114",daily,summers,Multicolor,Adults (18-45),Generic brand story.
