product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,variant_sku,variant_price,variant_compare_at_price,variant_available,variant_option1,variant_option2,variant_option3,images,enriched_occasion,enriched_season,enriched_color,enriched_age_bucket,enriched_brand_story
9160488091940,"Volta: Magnetic Levitating Lightbulb with Rotating LED Glow for Home, Office & Unique Décor",volta-illuminaire-the-levitating-light-spectacle,Geeklane,Floating Lamps,"#InStock, a, Floating Lamps, Gadget, Gift, Home & Lifestyle, Home Decor, Lamps & Lighting, Man, RGB & Mood Lighting, Tech & Gaming, Woman",48330369335588,Default Title,0074,5999.00,0.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61pZlu1n6eL._SL1200.jpg?v=1737560812, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/levibulb.webp?v=1737560812, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/01FLOATELYVOLTAProductBanner1080x1080px.jpg?v=1737560812, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/F6.png?v=1737560812",office,summers,Multicolor,Millennials (25-40),Generic brand story.
9160512733476,"MagTrio: 3-in-1 Foldable MagSafe & Qi2 Compatible Wireless Charger with 15W Fast Charging for iPhone, AirPods & Apple Watch",magcharge-trio-the-ultimate-3-in-1-wireless-charging-station,GeekLane,Chargers & Power Banks,"#BestSeller⭐, #Counter, #NowViral🔥, a, Apple Wireless Charger, Chargers & Power Banks, EZ, Gadget, Gift, Man, Tech & Gaming, Travel & Outdoor, Travel Accessories, Wireless Chargers, Woman",48330428776740,Default Title,0076,1499.00,0.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/15_dd5ff091-c6df-4375-9526-46f97e164ed9.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/13_a1d13f56-938b-47c7-aecc-d359cd6a0e6a.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/10_98714722-f05f-462e-91d0-844df4050753.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/11_075cf7f4-588a-4898-a1c4-33e6daa3aba1.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/12_a1b77815-146f-4363-b7ca-464c0835f262.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/14_8f352470-39bc-4cd8-b651-5affc418f7c5.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/16_9d75e267-082b-4689-be1b-6f29c01320e2.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/17_09ba4245-0632-4f8f-9072-c34c0ed9e60d.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/18_589ae21d-c89e-4398-8b85-ab7fa57dccbc.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/7_e6dee220-0486-4f1b-8f11-d94a93c58b38.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/8_17bdf127-cb60-4d19-86f8-055d61adfb9c.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/9_815f587b-389a-41cb-8986-9d910e1f4cd0.png?v=1742926164, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/CopyofAddasubheading_4_1_700x700_c73c88f0-3264-47d3-a244-65bd707e9752.webp?v=1742926164",daily,summers,Multicolor,Adults (18-45),Generic brand story.
9884485878052,"CleanTech: 7-in-1 Electronic Gadget Cleaning Tool & Multipurpose Device Cleaner for Laptops, Macbooks, Smartphones, Keyboards, Gaming PC & AirPods",cleantech-7-in-1-electronic-device-cleaner-kit,Geeklane,Tools & Kits,"a, Cleaning Kits, Gadget, Man, Tech & Gaming, Tools & Kits, Woman",49930622566692,Default Title,0227,299.00,0.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled_design_8_a983f885-cc9a-4f71-ae10-0999b9de6dfa.png?v=1743061452, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/6359357955.jpg?v=1743061452, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/5459726434.jpg?v=1743061452, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/5030049501.jpg?v=1743061452, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/6779279109.jpg?v=1743061452, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/5169615223.jpg?v=1743061452",daily,summers,Multicolor,Adults (18-45),Generic brand story.
10044547727652,"Potzi: Magnetic Levitating Bonsai Planter with Rotating Floating Pot & Wooden Base, Geometric Indoor Decor for Air Plants & Minimalist Homes",potzi-magnetic-levitating-bonsai-planter-with-rotating-floating-pot-wooden-base-geometric-indoor-decor-for-air-plants-minimalist-homes,Geeklane,Floating Lamps,"a, Decor, Floating Lamps, Gadget, Gift, Home & Lifestyle, Home Decor, Man, Woman",50531566649636,Default Title,0361,6899.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/unnamed_2_972957ba-c7f8-486e-b03a-bf1678476e48.jpg?v=1743691378, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/c8e6248232eece7be933f91409970508_jpg_2200x2200q80_jpg_7435928c-1ceb-4a7a-8d6b-d9fbd84d902a.jpg?v=1743691378, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/6986ee62495718952dba7073ae7724e0_jpg_2200x2200q80_jpg_4059432c-7e07-4d73-93db-945f8b982371.jpg?v=1743691378, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/a76e6824d13d161aba9a60f7054f979c_jpg_2200x2200q80_jpg_0817919c-125a-4748-aadb-663529facbfa.jpg?v=1743691378, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/e174b8d1b9c6c03f52d04f0893233f12_jpg_2200x2200q80_jpg_32de832c-ba77-415a-b56f-8f0a85a7099b.jpg?v=1743691378, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/H8b661785dabd469793b8f576f3b56444l.jpg?v=1743691378, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/8_b1c362f6-267a-4d22-a2a5-23e3d1f9ea5b.jpg?v=1743691378",daily,summers,Multicolor,Adults (18-45),Generic brand story.
9158808895780,"Orbit: Luxe Floating Moon Lamp with Magnetic Levitation, Spinning LED Light & 3 Color Modes for Home & Office Décor",orbit-luxe-floating-moon-lamp,Geeklane,Floating Lamps,"#InStock, a, Decor, Floating Lamps, Gadget, Gift, Home & Lifestyle, Home Decor, Lamps & Lighting, Man, RGB & Mood Lighting, Tech & Gaming, Woman",48327135002916,Default Title,0055,6299.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp5.webp?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp1.webp?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp114.webp?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp13.webp?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp6.webp?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/2024101516072827734.png?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp12.webp?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp11.webp?v=1737564342, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/FloatingMoonLamp2.webp?v=1737564342",office,summers,Multicolor,Millennials (25-40),Generic brand story.
10044974334244,"Wakee: Retro LED Alarm Clock with Twin Bells – Extra Loud Battery-Powered Clock for Heavy Sleepers, Stylish Wake-Ups & Desk or Bedroom Decor",wakee-retro-led-alarm-clock-with-twin-bells-extra-loud-battery-powered-clock-for-heavy-sleepers-stylish-wake-ups-desk-or-bedroom-decor,Geeklane,Clocks & Timers,"a, Clocks & Timers, Collector Items, Creative & Stationery, Gadget, Gift, Home & Lifestyle, Home Decor, Home Utilities, Man, Tech & Gaming, Toys & Novelties, Woman",50532222239012,WHITE,0373_1,1499.00,,True,WHITE,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/51zJOIXoUlL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71n2My51MgL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71DEMbRVWcL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61GpaA6Z26L._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61TTLHHmcDL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71i_HWE6w2L._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61zN9uq5QgL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/619Okqv2dnL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/6126Rqc131L._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61PX_YoZ1TL._SL1500.jpg?v=1748605968",date,winters,Red,Adults (18-45),Generic brand story.
10044974334244,"Wakee: Retro LED Alarm Clock with Twin Bells – Extra Loud Battery-Powered Clock for Heavy Sleepers, Stylish Wake-Ups & Desk or Bedroom Decor",wakee-retro-led-alarm-clock-with-twin-bells-extra-loud-battery-powered-clock-for-heavy-sleepers-stylish-wake-ups-desk-or-bedroom-decor,Geeklane,Clocks & Timers,"a, Clocks & Timers, Collector Items, Creative & Stationery, Gadget, Gift, Home & Lifestyle, Home Decor, Home Utilities, Man, Tech & Gaming, Toys & Novelties, Woman",50532222271780,BLACK,0373_2,1499.00,0.00,False,BLACK,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/51zJOIXoUlL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71n2My51MgL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71DEMbRVWcL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61GpaA6Z26L._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61TTLHHmcDL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71i_HWE6w2L._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61zN9uq5QgL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/619Okqv2dnL._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/6126Rqc131L._SL1500.jpg?v=1748605968, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61PX_YoZ1TL._SL1500.jpg?v=1748605968",date,winters,Red,Adults (18-45),Generic brand story.
9158809321764,"FlexiGlow: Modern 2-in-1 Rechargeable LED Lantern with Foldable Design, Dimmable Touch Control & Portable Wooden Handle",flexiglow-craft-the-sleek-cordless-beacon,Geeklane,Premium Lamps,"#Counter, a, Adventure Gadgets, EZ, Gadget, Gadgets & Accessories, Gift, Home & Lifestyle, Home Decor, Lamps & Lighting, Man, Premium Lamps, Tech & Gaming, Torch & Lighting, Woman",48327135953188,Default Title,0058,1599.00,0.00,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/018900107A-1.webp?v=1737485271, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/gif3-min.webp?v=1737485271, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/CollapsibleTableLamp1.webp?v=1737485271, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/CollapsibleTableLamp5.webp?v=1737485271, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/CollapsibleTableLamp4.webp?v=1737485271, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/CollapsibleTableLamp7.webp?v=1737485271, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/CollapsibleTableLamp6.webp?v=1737485271, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/CollapsibleTableLamp3.webp?v=1737485271",daily,summers,Multicolor,Adults (18-45),Generic brand story.
9116599615780,"Mirage: The Illusion Anti-Gravity Humidifier with Floating Water Effect, LED Clock Display & Auto Shut-Off (800ml)",gravitymist-the-anti-gravity-humidifier-with-ultrasonic-tech,GeekLane,Humidifiers & Air Purifiers,"a, Gadget, Gadgets & Accessories, Gift, Home & Lifestyle, Home Decor, Humidifiers, Humidifiers & Air Purifiers, Man, nocod, Tech & Gaming, Woman",48187393278244,Default Title,0017,1799.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/90fda0d8-88e9-4b8b-b634-becd956ff6ec_c8df9dda-af18-49dd-b203-d31d48916a0d.webp?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71K8rexyXZL_1024x1024_92e4ccf9-86d2-4717-91d5-b477e774c166.jpg?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/gravh1.webp?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/51Tj166XgQL._AC_UF350_350_QL80.jpg?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/61SCuY3XxwL_1024x1024_da279fa4-4246-4b6d-bc7a-60d8df40a9d1.webp?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/71CJrAhcxlL.jpg?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled-1_1024x1024_6c1e27b2-4e5a-4085-a47e-7a7e5bcf9af6.jpg?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled-2_1024x1024_c3389a64-ea59-42a2-bfde-d6c8acd6253c.webp?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled-3_1024x1024_ca65340b-ef24-4a5c-bf25-3d5f716e90ab.webp?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled-4_1024x1024_cb62987b-f2ba-4c1b-ba96-bc5535e98025.webp?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled-5_1024x1024_50889930-b517-4b46-8d66-c5c4ea0d7602.jpg?v=1737553609, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled-8_1024x1024_38b0f128-801c-4743-8b3b-c3008e01b1b8.webp?v=1737553609",daily,summers,Multicolor,Adults (18-45),Generic brand story.
10079895912740,Dockit: 2-in-1 Wireless Charging Pad for iPhone & Apple Watch – Nightstand Mode & Qi Compatibility with Fast Charging in a Sleek Minimal Design,dockit-2-in-1-wireless-charging-pad-for-iphone-apple-watch-nightstand-mode-qi-compatibility-with-fast-charging-in-a-sleek-minimal-design,Geeklane,Chargers & Power Banks,"a, Apple Wireless Charger, Chargers & Power Banks, Gadget, Gadgets & Accessories, Gift, Home & Lifestyle, Home Utilities, Man, Tech & Gaming, Wireless Chargers",50666520281380,Default Title,0412,990.00,,True,Default Title,,,"https://cdn.shopify.com/s/files/1/0853/1705/8852/files/Untitled_design_2_962c48db-771c-42a7-8c13-fb34a9f6cd86.png?v=1750098170, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/4_02fc388b-4c15-4b5d-a0f6-7319c7ffb637.png?v=1750098170, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/5_4396d6a1-54be-4a37-80fd-e8b905212ef8.png?v=1750098170, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/3_4df2075d-0aca-4875-9755-f8d1098a6c83.png?v=1750098170, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/2_3494b213-107b-424c-b95f-5f16912bb5c9.png?v=1750098170, https://cdn.shopify.com/s/files/1/0853/1705/8852/files/1_b945acb0-c6c7-4289-9675-fe73ec3b3d08.png?v=1750098170",daily,summers,Tan,Adults (18-45),Generic brand story.
